"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Заказы","Создание заказа без авторизации","","0","0","1","0","0"
"Заказы","Управление заказами","","0","0","4","0","0"
"Пользователи","Создание пользователя, который уже зарегистрирован","","0","0","1","0","0"
"Пользователи","Управление пользователями. Создание","","0","0","5","0","0"
"Пользователи","Создание пользователя без имени","","0","0","1","0","0"
"Заказы","Создание заказа с плохим хэшем ингридиента","","0","0","1","0","0"
"Пользователи","Создание пользователя","","0","0","1","0","0"
"Пользователи","Авторизация пользователя с некорректным email","","0","0","1","0","0"
"Пользователи","Управление пользователями. Авторизация","","0","0","3","0","0"
"Пользователи","Авторизация пользователя с некорректным паролем","","0","0","1","0","0"
"Пользователи","Создание пользователя без пароля","","0","0","1","0","0"
"Заказы","Создание заказа без ингридиентов","","0","0","1","0","0"
"Пользователи","Создание пользователя без почты","","0","0","1","0","0"
"Заказы","Создание заказа с авторизацией","","0","0","1","0","0"
"Пользователи","Авторизация пользователя","","0","0","1","0","0"
