"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 07 20:46:01 MSK 2025","Sun Dec 07 20:46:07 MSK 2025","6249","","ru.yandex.practicum.test.order.OrderCreateTest","","ru.yandex.practicum.test.order.OrderCreateTest","shouldCreateOrderWithoutLoginTest","Create  without login",""
"passed","Sun Dec 07 20:46:10 MSK 2025","Sun Dec 07 20:46:11 MSK 2025","266","","ru.yandex.practicum.test.user.UserCreateTest","","ru.yandex.practicum.test.user.UserCreateTest","shouldCreateDoubleUserTest","Сreate a user who is already registered",""
"passed","Sun Dec 07 20:46:10 MSK 2025","Sun Dec 07 20:46:10 MSK 2025","117","","ru.yandex.practicum.test.user.UserCreateTest","","ru.yandex.practicum.test.user.UserCreateTest","shouldCreateUserTestWithoutName","Create user without name",""
"passed","Sun Dec 07 20:46:08 MSK 2025","Sun Dec 07 20:46:09 MSK 2025","683","","ru.yandex.practicum.test.order.OrderCreateTest","","ru.yandex.practicum.test.order.OrderCreateTest","shouldCreateOrderBadHashTest","Create order with bad hash",""
"passed","Sun Dec 07 20:46:11 MSK 2025","Sun Dec 07 20:46:11 MSK 2025","168","","ru.yandex.practicum.test.user.UserCreateTest","","ru.yandex.practicum.test.user.UserCreateTest","shouldCreateUserTest","Create user",""
"passed","Sun Dec 07 20:46:09 MSK 2025","Sun Dec 07 20:46:10 MSK 2025","300","","ru.yandex.practicum.test.user.AuthorizationUserTest","","ru.yandex.practicum.test.user.AuthorizationUserTest","shouldLoginUserIncorrectLoginTest","Create user & authorization incorrect email",""
"passed","Sun Dec 07 20:46:09 MSK 2025","Sun Dec 07 20:46:09 MSK 2025","417","","ru.yandex.practicum.test.user.AuthorizationUserTest","","ru.yandex.practicum.test.user.AuthorizationUserTest","shouldLoginUserIncorrectPasswordTest","Create user & authorization incorrect login",""
"passed","Sun Dec 07 20:46:11 MSK 2025","Sun Dec 07 20:46:11 MSK 2025","83","","ru.yandex.practicum.test.user.UserCreateTest","","ru.yandex.practicum.test.user.UserCreateTest","shouldCreateUserTestWithoutPassword","Create user without password",""
"passed","Sun Dec 07 20:46:09 MSK 2025","Sun Dec 07 20:46:09 MSK 2025","473","","ru.yandex.practicum.test.order.OrderCreateTest","","ru.yandex.practicum.test.order.OrderCreateTest","shouldCreateOrderWithoutIngredientsTest","Create order without ingredients",""
"passed","Sun Dec 07 20:46:11 MSK 2025","Sun Dec 07 20:46:11 MSK 2025","99","","ru.yandex.practicum.test.user.UserCreateTest","","ru.yandex.practicum.test.user.UserCreateTest","shouldCreateUserTestWithoutEmail","Create user without email",""
"passed","Sun Dec 07 20:46:07 MSK 2025","Sun Dec 07 20:46:08 MSK 2025","550","","ru.yandex.practicum.test.order.OrderCreateTest","","ru.yandex.practicum.test.order.OrderCreateTest","shouldCreateOrderWithLoginTest","Create order with login",""
"passed","Sun Dec 07 20:46:10 MSK 2025","Sun Dec 07 20:46:10 MSK 2025","517","","ru.yandex.practicum.test.user.AuthorizationUserTest","","ru.yandex.practicum.test.user.AuthorizationUserTest","shouldLoginUserTest","Create user & authorization",""
